authors,year,title,abstract,corpus_id,doi,author
Rachel L. Shively,2011,L2 pragmatic development in study abroad: A longitudinal study of Spanish service encounters,,94696261,10.1016/J.PRAGMA.2010.10.030,
Quingping Li,2012,Effects of Instruction on Adolescent Beginners Acquisition of Request Modification,"This quasiexperimental study examined the effects of different focus-on-form techniques, and the durability of such effects, on adolescent beginners’ acquisition of request supportive moves. Three treatments were implemented: (1) the incidental group was exposed to input and involved in meaningful output activities; (2) the implicit group was aided by visual enhancement of the input; and (3) the explicit group was aided with metapragmatic information. Discourse completion test results show that, when learners are provided with pertinent input and chances for output, visual enhancement can boost their pragmatic development, while metapragmatic information might hinder such development. Only the input-output activities (i.e., the incidental treatment) could produce durable effects in every aspect of the target features. The explicit treatment did produce durable effects in the acquisition of overall supportive moves. The effects of the visual enhancement were not durable. These results are discussed in terms of an interaction between the learner profile (young beginning learners), treatment characteristics, and the nature of target features.",145167858,10.1002/TESQ.2,
"B. Vanpatten, Soile Oikkenon",1996,Explanation versus Structured Input in Processing Instruction,"This study replicates VanPatten and Cadierno (1993) in an attempt to determine whether or not explicit information given to learners receiving processing instruction is responsible for the beneficial effects of instruction. Fifty-nine subjects were divided into three groups: (1) one receiving processing instruction in object pronouns and word order in Spanish as in VanPatten and Cadierno (1993), (2) another receiving explanation only with no activities or practice, (3) and another receiving only the structured input activities with no explanation. A pretest/post-test assessment was used involving two tests, an interpretation test and a sentence-level production test. Results showed that the beneficial effects of instruction were due to the structured input activities and not to the explicit information (explanation) provided to learners.",146354867,10.1017/S0272263100015394,
M. Takimoto,2006,The Effects of Explicit Feedback and Form--Meaning Processing on the Development of Pragmatic Proficiency in Consciousness-Raising Tasks.,,62173796,10.1016/J.SYSTEM.2006.09.003,
R. Dekeyser,2001,Cognition and Second Language Instruction: Automaticity and automatization,"Introduction: concepts and issues In a very general sense, everybody knows what automaticity means. Some doors slide open automatically, some cars shift gears automatically, some VCRs rewind automatically; in other words these objects perform their functions without requiring any physical or mental effort on our part (the meaning of the Greek adjective automatos is selfacting). In the psychological sense, every layman has had experience with automaticity too. When typing, driving a stick-shift car or using a word-processor too edit a text, we perform a complex series of tasks very quickly and efficiently, without having to think about the various components and subcomponents of action involved; sometimes we are even unable to think of them explicitly, and therefore we may have trouble visualizing the keyboard or explaining to somebody else how to use a piece of software, even though – or rather just because – we use the keyboard or the software with great ease. Initially, though, we may have found typing, driving a stick-shift car or using a spreadsheet to be slow, tricky, and tiring. The automaticity, that is the speed and ease with which we ultimately carry out these tasks, is the result of a slow process that we call automatization. Once this process has run its course, the chain of actions involved in the automatized tasks can even become hard to suppress, as we experience when forced to shift from a querty to an azerty keyboard, from a stick-shift to an automatic car, or from one kind of accounting software to another.",56520429,10.1017/CBO9781139524780.007,
"G. Kasper, M. Dahl",1991,Research Methods in Interlanguage Pragmatics,"The article reviews the methods of data collection employed in 39 studies of interlanguage pragmatics, defined narrowly as the investigation of nonnative speakers' comprehension and production of speech acts, and the acquisition of L2-related speech act knowledge. Data collection instruments are distinguished according to the degree to which they constrain informants' responses, and whether they tap speech act perception/comprehension or production. A main focus of discussion is the validity of different types of data, in particular, their adequacy to approximate authentic performance of linguistic action.",145663786,10.1017/S0272263100009955,
"J. Norris, L. Ortega",2006,Synthesizing research on language learning and teaching,"1. Contributors 2. Preface 3. Section I. Introduction 4. 1. The value and practice of research synthesis for language learning and teaching (by Norris, John M.) 5. Section II. Research syntheses 6. Introduction to Section II 7. 2. Principles, parameters, and SLA: A retrospective meta-analytic investigation into adult L2 learners' access to Universal Grammar (by Dinsmore, Thomas H.) 8. 3. Investigating the empirical link between task-based interaction and acquisition: A meta-analysis (by Keck, Casey) 9. 4. The effectiveness of corrective feedback for the acquisition of L2 grammar: A meta-analysis of the research (by Valezy, Jane Russell) 10. 5. Effects of L2 instruction on interlanguage pragmatic development: A meta-analysis (by Jeon, Eun Hee) 11. 6. The effects of Explicit Reading Strategy Training on L2 reading comprehension: A meta-analysis (by Taylor, Alan) 12. 7. A meta-synthesis of qualitative research on effective teaching practices for English Language Learners (by Tellez, Kip) 13. 8. Research synthesis and historiography: The case of assessment of second language proficiency (by Thomas, Margaret) 14. Section III. Commentaries 15. Introduction to Section III 16. 9. Meta-analysis, human cognition, and language learning (by Ellis, Nick C.) 17. 10. Some reflections on the development of (meta-analytic) synthesis in second language research (by Chaudron, Craig) 18. Index",60415020,10.1075/LLLT.13,
Andrew Sangpil Byon,2006,Developing KFL Students’ Pragmatic Awareness of Korean Speech Acts: The Use of Discourse Completion Tasks,"Teaching pragmatic competence in Korean-as-a-foreign language (KFL) settings is still an underdeveloped area, when compared to teaching other language areas, such as speaking, listening, reading, and writing. The first step to enhance pragmatic language teaching in foreign language (FL) education is to raise the FL instructors’ and students’ pragmatic awareness (Kasper & Rose, 2001). This paper investigates a case of raising pragmalinguistic and sociopragmatic awareness of Korean speech acts to intermediate KFL students in an American university, using a discourse completion task (DCT). This study discusses how the DCT approach, as a pragmatic-consciousness-raising (PCR) technique, can assist FL instructors in developing pragmalinguistic and sociopragmatic awareness of the target speech acts. The study shows that DCT provided a very practical tool for our students to recognise the pragmatic features. Conducting a survey with L1 and L2 speakers made the learning process more engaging, relevant, and interesting for most students. Although the discussion and procedures presented in this paper are from an American college-level intermediate KFL course, the cases presented may be adapted for use in any foreign language course that has struggled with teaching L2 pragmatic competence.",144456779,10.2167/la410.0,
Virginia Locastro High,2003,An introduction to pragmatics : social action for language teachers,,60270469,,
"David B. Wilson, M. Lipsey",2001,The role of method in treatment effectiveness research: evidence from meta-analysis.,"A synthesis of 319 meta-analyses of psychological, behavioral, and educational treatment research was conducted to assess the influence of study method on observed effect sizes relative to that of substantive features of the interventions. An index was used to estimate the proportion of effect size variance associated with various study features. Study methods accounted for nearly as much variability in study outcomes as characteristics of the interventions. Type of research design and operationalization of the dependent variable were the method features associated with the largest proportion of variance. The variance as a result of sampling error was about as large as that associated with the features of the interventions studied. These results underscore the difficulty of detecting treatment outcomes, the importance of cautiously interpreting findings from a single study, and the importance of meta-analysis in summarizing results across studies.",12743442,10.1037/1082-989X.6.4.413,
"Alicia Martínez-Flor, Esther Usó-Juan",2010,"Speech Act Performance: Theoretical, empirical and methodological issues",,148151712,10.1075/LLLT.26,
K. Ishida,2007,Developing understanding of how the desu/masu and plain forms express one's stance,,43987365,,
Lynn Pearson,2006,Patterns of Development in Spanish L2 Pragmatic Acquisition: An Analysis of Novice Learners' Production of Directives,"This article investigates from an acquisitional approach the development of pragmatic competence by novice learners of second language (L2) Spanish. Specifically, it examines the acquisition of various strategies (e.g., head acts, use of softeners, formality marking, and hearer-oriented directives) to realize Spanish directives. A quantitative and qualitative analysis of the data detected patterns in the learners' directive production. The analysis considered factors such as instruction, L2 grammatical competence, and the influence of the first language (L1) to illustrate the patterns of development of L2 pragmatics at lower proficiency levels. The results show (a) verb forms with increased morphological complexity replaced lower level directive strategies, possibly as a result of the expansion of L2 grammatical competence; (b) pragmatic competence seems to precede grammatical competence; and (c) the L1 pragmatic system appears to play a role in interpreting and processing new L2 data for use in production.",144316374,10.1111/J.1540-4781.2006.00427.X,
M. Smith,1980,Publication bias and meta-analysis,,144786433,10.1016/0191-765X(80)90004-X,
"Nigel G. Ward, Rafael Escalante, Yaffa Al Bayyari, T. Solorio",2007,Learning to show you're listening,"Good listeners generally produce back-channel feedback, that is, short utterances such as uh-huh which signal active listening. As the rules governing back-channeling vary from language to language, second-language learners may need help acquiring this skill. This paper is an initial exploration of how to provide this. It presents a training sequence which enables learners to acquire a basic Arabic back-channel skill, namely, that of producing feedback immediately after the speaker produces a syllable or two with a sharply falling pitch. This training sequence includes an explanation, audio examples, the use of visual signals to highlight occurrences of this pitch downslope, auditory and visual feedback on learners' attempts to produce the cue themselves, and feedback on the learners' performance as they play the role of an attentive listener in response to one side of a pre-recorded dialog. Experiments show that this enables learners to better approximate proper Arabic back-channeling behavior.",18415053,10.1080/09588220701745825,
"V. Sardegna, Daniella Molle",2010,Videoconferencing with strangers: Teaching Japanese EFL students verbal backchannel signals and reactive expressions,"Abstract The aim of this study is to determine the teachability and learnability of English verbal backchannel signals and reactive expressions during a two-hour videoconference lesson on English conversation strategies. The lesson was given by ESL teachers (n = 2) in the United States to EFL students (n = 35) in Japan. Five of the students participated in the videoconference. The remaining thirty were mostly observers. The paper reports on the collaborative development and execution of the videoconference lesson, and its short-term effects on the five participants' use of verbal backchannel signals and reactive expressions. The analysis of student use of these tokens before and after instruction suggests that the pedagogical intervention had a positive short-term effect on student production of reactive tokens. The paper examines the pedagogical implications of the obtained results for the second/foreign language classroom. It also addresses the benefits and challenges of using videoconferencing in teaching pragmatics, and discusses possible avenues for future research.",143949682,10.1515/iprg.2010.013,
"Nina Vyatkina, J. Belz",2006,A learner corpus-driven intervention for the development of L2 pragmatic competence,,60545295,,
Alicia Martínez-Flor,2013,Learners' Production of Refusals: Interactive Written DCT versus Oral Role-Play,"Scholars in the field of interlanguage pragmatics (ELP) have examined second language learners' development of pragmatics by means of employing different data collection instruments (Beebe and Cummings, 1996; Duan, 2008; Houck and Gass, 1996; Martinez-Flor, 2006; Sasaki, 1998; Yuan, 2001). Findings from this research have showed the existence of task effects, since learners' performance varied depending on the task they were involved in. Specifically, given the interactive nature of role-plays and authentic discourse, learners' responses in the oral tasks were longer and more elaborate than those elicited in the written form. Therefore, ILP researchers have claimed the need to further investigate this area by widening the types of instruments being employed as well as the context in which they are used. Bearing these assumptions in mind, the present study aims at examining the effects of two production instruments (i.e., interactive written discourse completion test (DCT) and oral role-plays) on learners' use of refusals in a foreign language setting. The participants included 20 Spanish university learners who were required to make refusals to requests in written and oral production instruments. In these research methods, all situations i) varied according to the sociopragmatic factors of status and social distance; ii) were set at familiar contexts to the participants; and iii) asked learners to perform refusals in the role of students. Learners' performance when making refusals in the interactive written DCT and oral role-plays was compared. Results from such a comparison will be presented and discussed, and pedagogical implications highlighted.1 IntroductionOver the last decades, the area of interlanguage pragmatics (ILP) has shown an increasing interest in examining how learners' pragmatic competence in a second (L2) or foreign (FL) language is learnt and taught (Alcon and Martinez-Flor, 2005, 2008; Ishihara and Cohen, 2010; Kasper and Rose, 2002; Martinez-Flor et al., 2003; Rose and Kasper, 2001; Tatsuki, 2005). Since pragmatic language use is a very complex phenomenon with a lot of contextual factors influencing its actual performance, it is of paramount importance to carefully design the methods2 that elicit learners' production of a given pragmatic feature. In fact, how to collect appropriate data is a crucial issue in pragmatic research since the use of a particular elicitation instrument may potentially influence research outcomes (Alcon and Martinez-Flor, 2008; Nurani, 2009). That is the reason why continuous improvements concerning research methodologies in the pragmatics realm have been developed (Bardovi-Harlig, 1999; Cohen, 2004; Felix-Brasdefer, 2010; Kasper, 2000; Kasper and Dahl, 1991; Kasper and Roever, 2005), although there is still the need to further investigate this area by widening the types of data collection methods created, as well as including learners from distinct linguistic backgrounds (Trosborg, 2010).Within this framework, the aim of this chapter is to examine the effects on two elicitation instruments (i.e., interactive written DCT and oral role-play) on learners' production of refusals in a FL context. To this end, we will first provide a detailed literature review on data collection methods employed in ILP by differentiating between oral and written production data. Additionally, the studies that have been conducted with the aim of comparing both oral and written production data will also be described. Then, we will present our particular study with an explanation of how the two instruments were elaborated. Finally, concluding remarks of the present study will be mentioned and suggestions for further research will be proposed.2 Literature review on data production collection instruments in ILPKasper and Roever (2005) have examined the main methodological approaches that have been employed to analyze how target language pragmatics is learnt. The authors divide the data collection instruments used in ILP into three groups: i) examining spoken interaction; ii) questionnaires; and iii) self-report data. …",141161774,10.1163/9789401209717_010,
"A. Liddicoat, C. Crozet",2001,Acquiring French interactional norms through instruction,"Introduction The emergence of intercultural competence in language teaching (Kramsch, 1993, 1995; Lustig & Koester, 1993; Byram & Zarate, 1994; Crozet, Liddicoat, & Lo Bianco, 1999) has led to a need to focus on a second language as a vehicle for communication in cultural contexts, and this in turn implies that an important goal for language learning is developing an understanding of appropriate communication in the target language (Zarate, 1986; Buttjes & Byram, 1990; Kramsch, 1995; Tickoo, 1995; Fantini, 1997; Liddicoat, 1997b). Consequently, language teaching now needs to be seen more in the context of intercultural communication, with the aim of preparing learners to communicate outside their own cultural boundaries (Bolten, 1993; Crozet, 1996; Liddicoat, 1997b; Liddicoat & Crozet, 1997; Liddicoat, Crozet, Jansen, & Schmidt, 1997; Crozet & Liddicoat, 1999; Crozet et al., 1999). In such a perspective, pragmatic and discoursal practices become an integral part of language learning from early on because they play a central role in intercultural communication, and mismatches between them have been identified as a key factor in communication breakdowns. Many studies have shown that culturally based differences about what is expected during communication can be a significant cause of crosscultural communication difficulties (Gumperz, Judd, & Roberts, 1979; Wierzbicka, 1985, 1991; Kotthoff & Auer, 1987; Gudykunst & Kim, 1992). These expectations may be linked to differences in the realization of particular speech acts, or they may be linked to broader, and often more diffuse, issues of discourse organization and conversational style.",141887945,10.1017/CBO9781139524797.012,
"R. M. Reiter, M. Placencia",2004,Current trends in the pragmatics of Spanish,The essays in this collection represent both new theoretical and empirical research and as such they constitute a valuable contribution to the field of pragmatics in general and an essential reference to those researching the pragmatics of ...,142090425,10.1075/PBNS.123,
Naoko Taguchi,2009,"Commentary: The social turn in second language acquisition and Japanese pragmatics research: Reflection on ideologies, methodologies and instructional implications",,148018371,10.1515/9783110218558.335,
Ritsuko Narita,2009,The Effects of Pragmatic Consciousness-Raising Activities on the Development of Pragmatic Awareness and Use of Hearsay Evidential Markers for Learners of Japanese as a Foreign Language.,,141511224,10.1016/J.PRAGMA.2011.09.016,
A. Cohen,2008,Teaching and assessing L2 pragmatics: What can we expect from learners?,"This paper starts by giving a rationale for why there is value in explicitly teaching second-language (L2) learners pragmatics in the target language. The importance of a research basis for choosing pragmatic materials to teach is underscored, and the focus is put on sources for materials on pragmatics and the means of data collection. Issues in the teaching of pragmatics are considered, including determining which material to teach, how to prepare teachers to teach it, and the role of teachers in facilitating the learning of pragmatics. Next, L2 pragmatics is viewed from the learners' perspective, in terms of the learning and performance of pragmatics, as well as approaches to assessing what it is that learners are able to do in a pragmatically appropriate way. Finally, consideration is given to the role of technology in making pragmatics accessible to learners, with reference to a website for teachers and curriculum writers and to websites designed for learners of specific languages such as Japanese and Spanish. Recent work on virtual environments for practicing Spanish pragmatics is discussed and preliminary findings from a small-scale study of this effort are reported.",145553076,10.1017/S0261444807004880,
Yuanxen Chen,2011,The Effect of Explicit Teaching of American Compliment Exchanges to Chinese Learners of English,本研究的主要目的在於探討美語讚美行為之教學成效。在臺灣，有關於本言語行為教學成效的研究至今仍然非常少見。四十位科技大學學生接受八個小時的美語讚美行為的教學，並分別在教學前、教學後、及教學後九週測試學生的學習成效。結果顯示教學對學生的美語讚美行為具有正面的效果，同時部分教學效果在九週後得以延續。本研究證實了教學確實可以提升學生的語用能力，同時亦呼籲語言課程中應該盡量包括對學生語用能力的訓練。,61464248,10.6330/ETL.2011.35.4.01,
Satomi Takahashi,2005,Noticing in task performance and learning outcomes: A qualitative analysis of instructional effects in interlanguage pragmatics,,62577556,10.1016/J.SYSTEM.2005.06.006,
K. Bardovi-Harlig,2001,Pragmatics in Language Teaching: Evaluating the empirical evidence: Grounds for instruction in pragmatics?,"Introduction Everyone who works with a second or foreign language, whether learners, teachers, or researchers, knows a funny story about crosscultural pragmatics – or maybe the stories are really not that funny. From the perspective of the speaker, they may be about feeling silly, helpless, or rude; from the perspective of the listener, they may be about feeling confused, insulted, or angry. Anecdotal evidence inspires us to say that we ought to teach, as one of our ESL students said, the “secret rules” of language. Much research has gone into identifying how speakers of various languages realize speech acts, take turns, and use silence, for example, so that what our student called the secret rules are not unknown; and even if our knowledge is incomplete at this stage, could it form the basis of an informed pedagogy? In other words, is there empirical evidence that warrants the development and implementation of a pedagogy of pragmatics in second and foreign language instruction? In this chapter, I will review the empirical evidence that shows that native speakers (NSs) and nonnative speakers (NNSs) of a given target language appear to have different systems of pragmatics, discuss the factors that influence the development of L2 pragmatics systems, and then address the question of whether differences in pragmatics systems warrant instructional treatment. The evidence This review adopts a speech act perspective. Although it is not the only way of viewing pragmatics, speech act research has been well represented in crosscultural and interlanguage pragmatics research, and provides a common analytic framework which facilitates comparison across studies.",142558425,10.1017/CBO9781139524797.005,
"Zohreh R. Eslami, A. Eslami-Rasekh",2007,Enhancing the pragmatic competence of non-native English-speaking teacher candidates (NNESTCS) in an EFL context,,149937129,10.21832/9781847690869-011,
R. Schmidt,2001,Cognition and Second Language Instruction: Attention,,142894181,10.1017/CBO9781139524780.003,
John R. Anderson,1993,Problem solving and learning.,,143946223,10.1037/0003-066X.48.1.35,
"Elsa Roberts, Burgess, Denise",1995,Teaching particular languages,"outlines the design and development of a course the aimed to meet the needs of ESL students studying in the Faculty of Arts. The development of Critical Language Awareness in relation to general and subject specific study skills is discussed. The term 'Critical Communication Skills' (CCS) is intro-duced and defined. An outline is given of a two-part course. In Part One students work through materials which address CCS in relation to subject of common interest — the media in South Africa. In Part Two the demands of studying specific subjects are presented (e.g. Philosophy). The course is discussed in relation to ESP and critical skills development for use beyond university study. each associated with different types of innovations, highlight a new set of perspectives on the role of perceived attributes of ELT innovations. This paper reports the findings of a study on the intonation of second-language speakers of English from three language groups: Spanish, Japanese and Thai. The investigation focused on how non-native speakers use intonation to signal meaning in the structure of their discourse. Thirty adult speakers of English as a second language at the intermediate level and ten native speaker controls were tape recorded in both oral reading and free speech tasks. The speech data were analysed on a Visipitch machine to measure how pitch and intensity were used contrastively to show relationships in discourse. Following a model of intonational meaning dev-eloped by Pierrehumbert and Hirschberg, pitch accents, phrase accents, boundary tones, and para-tones were measured. The study revealed that while the native speakers made significant use of pitch contrasts to signal meaning on the items measured, the non-native speakers did not consistently use pitch to signal meaningful contrasts in many of the same environments. This study investigated the effect of functional-analytic teaching on aspects of French immersion (FI) students sociolinguistic competence at the Grade 8 level. A set of functional-analytic materials, entailing the study and practice of sociostylistic variation, was implemented in three FI classrooms by their respective teachers during French language arts classes over an average period of five weeks. A pre-test, an immediate post-test, and a delayed post-test were administered to the experimental group as well as to a comparison group in order to compare classes on three measures of sociolinguistic competence (defined as the ability to recognise and produce socially appropriate language in context). The study demonstrated that functional-analytic teaching substantially improved aspects of FI students' sociolinguistic competence in at least three ways: (1) by significantly increasing their ability in oral production to appropriately and accurately use vous in formal situations; (2) by significantly increasing their ability in written production to appropriately use vous in formal letters, and, in the short run, to use polite closings in formal letters; and (3) by significantly increasing their ability to recognise contextually appropriate French. speakers showed that: (1) the present perfect serves as the dominant past tense form for main verbs in the German colloquial standard; (2) modal verbs, the copula sein 'be,' haben 'have,' and certain formulaic expression occur in the preterite; and (3) the use of the past tense forms is linked to contextual and social factors. A German syllabus, then, must include a discussion of verb type when presenting the everyday use of the German preterite and present perfect. The study points to the situational and social contexts influencing the use of grammatical structures rather than merely presenting contextless rules governing their use. This study examines the role of illustrations in language learning and presents an analysis of the illustration content of 18 texts for teaching introductory Spanish published between 1960 and 1989. It also discusses the appropriate use of illustrations in teaching and considers future prospects.",143606191,10.1017/S0261444800007953,
"E. A. Soler, Alicia Martínez-Flor",2005,Editors’ introduction to pragmatics in instructed language learning,,62713147,10.1016/J.SYSTEM.2005.06.002,
Naoko Taguchi,2009,Subjectivity and pragmatic choice in L2 Japanese: Emulating and resisting pragmatic norms,,148302941,10.1515/9783110218558.101,
J. Mey,2001,Pragmatics: An Introduction,,60719956,,
Junko Mori,2006,The workings of the Japanese token hee in informing sequences,,144691534,10.1016/J.PRAGMA.2005.05.004,
"Alicia Martínez-Flor, Yoshinori J. Fukuya",2005,The effects of instruction on learners’ production of appropriate and accurate suggestions,,57339754,10.1016/J.SYSTEM.2005.06.007,
"G. Kasper, Carsten Roever",2005,Pragmatics in Second Language Learning,,202286059,10.4324/9781410612700-28,
"G. Kasper, Kenneth R. Rose",1999,PRAGMATICS AND SLA,"Pragmatics has two roles in SLA: It acts as a constraint on linguistic forms and their acquisition, and it represents a type of communicative knowledge and object of L2 learning in its own right. The first role of pragmatics is evident in functionalist (Tomlin 1990) and interactionist (Long 1996) views of SLA. The second role puts pragmatics on a par with morphosyntax, lexis, and phonology in that inquiry focuses on learners' knowledge, use, and acquisition of L2 pragmatics. It is the latter sense of “pragmatics and SLA” that is the focus of this paper. In analogy with other areas of specialization within SLA—interlanguage syntax, interlanguage lexis, and so forth—the study of nonnative speakers' use and acquisition of L2 pragmatic knowledge is referred to as interlanguage pragmatics.",60597834,10.1017/S0267190599190056,
"M. Swain, Sharon Lapkin",1995,Problems in Output and the Cognitive Processes They Generate: A Step Towards Second Language Learning,"L'A. veut montrer que, dans la production de la L2, le fait de prendre conscience d'un probleme linguistique peut amener les apprenants a modifier leur production. Ce faisant, ils sont obliges d'utiliser un mode de traitement plus syntaxique, qui apparait dans la comprehension. Ce qu'il advient entre la production originale et la production finale modifiee par la prise en compte du probleme, fait partie du processus d'acquisition d'une L2",145487757,10.1093/APPLIN/16.3.371,
M. Ishida,2009,Development of Interactional Competence: Changes in the Use of ne in L2 Japanese During Study Abroad,,221001497,,
"Camilla Vásquez, Donna Sharpless",2009,The Role of Pragmatics in the Master's TESOL Curriculum: Findings From a Nationwide Survey,"Recent years have seen an increase in the number of publications about pragmatics and second language learning and teaching. Yet the extent to which English language teacher preparation programs incorporate explicit instruction about pragmatics into their curricula remains unknown. A nationwide survey of master's-level TESOL programs was conducted to determine where and how pragmatics is covered in the TESOL curriculum, what resources are used to teach graduate TESOL students about pragmatics, as well as to determine some of the prevalent attitudes, beliefs, and opinions about pragmatics held by TESOL graduate program directors and faculty. Individuals from 94 master's-level TESOL programs in the United States participated in the study. Participating programs represent a variety of geographic regions, institution types, and departments. The findings of the study indicate that pragmatics is covered in a wide range of courses across programs (Sociolinguistics, Discourse Analysis, Introduction to Linguistics, Teaching Methods, SLA, etc.), and that the time spent covering pragmatics varies from no time at all, to more than 8 weeks, depending on the program. A great deal of variation was also found in graduate program directors' and faculty members' beliefs about the role of pragmatics in the TESOL curriculum.",143400704,10.1002/J.1545-7249.2009.TB00225.X,
M. Takimoto,2008,The Effects of Various Kinds of Form-Focused Instruction on Learners' Ability to Comprehend and Produce Polite Requests in English,"This study involving 60 Japanese learners of English investigated the effects of various kinds of form-focused instruction on learners' ability to comprehend and produce polite requests in English. Each treatment group received one of the following: (a) deductive instruction; (b) inductive instruction with problem-solving tasks; or (c) inductive instruction with structured input tasks. These tasks all involved explicit input-based instruction and were intended to test for differences in deductive versus inductive treatments. Treatment group performance was compared with that of a control group on a range of input- and output-based pretests, posttests, and follow-up tests. The results indicate that the three treatment groups performed significantly better than the control group, suggesting that in this study explicit input-based instruction was effective both deductively and inductively for learners' comprehension and production of English polite requests. There was also some indication that 
inductive treatment may be superior in the longer term.",14584697,10.18806/TESL.V26I1.389,
Naoko Taguchi,2009,Requesting in Japanese: The effect of instruction on JFL learners’ pragmatic competence,,151959788,10.1515/9783110218558.129,
Beyza Björkman,2011,The pragmatics of English as a lingua franca in the international university: Introduction,,93481498,10.1016/J.PRAGMA.2010.08.015,
"Naoko Taguchi, J. Sykes",2013,Technology in interlanguage pragmatics research and teaching,"1. Contributors 2. Chapter 1. Introduction: Technology in interlanguage pragmatics research and teaching (by Taguchi, Naoko) 3. Part I. Technology in researching pragmatics 4. Chapter 2. Comprehension of conversational implicature: What response times tell us (by Taguchi, Naoko) 5. Chapter 3. Amount of practice and pragmatic development of request-making in L2 Chinese (by Li, Shuai) 6. Chapter 4. Multiuser virtual environments: Learner apologies in Spanish (by Sykes, Julie M.) 7. Chapter 5. Development of politeness strategies in participatory online environments: A case study (by Gonzales, Adrienne) 8. Chapter 6. Pronominal choice and self-positioning strategies in second language academic writing: A pragmatic analysis using learner corpus data (by Urzua, Alfredo) 9. Part II. Technology in teaching and assessing pragmatics 10. Chapter 7. Complex L2 pragmatic feedback via place-based mobile games (by Holden, Christopher L.) 11. Chapter 8. Blogging: Crosscultural interaction for pragmatic development (by Takamiya, Yumi) 12. Chapter 9. Technology and tests of L2 pragmatics (by Roever, Carsten) 13. Chapter 10. DocuScope for genre analysis: Potential for assessing pragmatic functions in second language writing (by Zhao, Helen) 14. Commentary on Technology in Interlanguage Pragmatics Research and Teaching (by Cohen, Andrew D.) 15. Prologue. The future of pragmatics and technology: Where are we headed? (by Sykes, Julie M.) 16. Index",59998345,10.1075/LLLT.36,
R. Dekeyser,2007,Practice in a Second Language: Perspectives from Applied Linguistics and Cognitive Psychology,,143417549,,
"Paula M. Winke, C. Teng",2010,Using task-based pragmatics tutorials while studying abroad in China,"Abstract This paper details how a task-based tutorial program for students studying abroad in China can improve the students' pragmatic competence and cross-cultural awareness. We describe the pragmatics tutoring curriculum, the pragmatics learning journals that are part of the curriculum, and a Chinese pragmatics test that we developed and used for this study. Pre- and post-tests of oral Chinese pragmatic ability were given to an experimental group (N = 19) of students who took the tutorial program while studying abroad in China for a summer and to a control group (N = 19) of students who did not take the program or study abroad. The test results, learning journals, and end-of-program surveys showed that the experimental group improved their pragmatic performance and cross-cultural awareness and had a positive attitude toward the enhanced study-abroad program. The study demonstrates that a summer study-abroad program that uses native-speaker interaction to improve pragmatic ability is beneficial. We discuss how and why the explicit teaching of pragmatics can and should be fully integrated into a study-abroad curriculum.",144354614,10.1515/iprg.2010.016,
Kenneth R. Rose,2005,On the effects of instruction in second language pragmatics,,57280811,10.1016/J.SYSTEM.2005.06.003,
,,,,CorpusId:None,,
B. Vanpatten,1996,Input Processing and Grammar Instruction in Second Language Acquisition,"This book provides an alternative to the ""grammar debate"" in second language acquisition theory and teaching. Accepting that language acquisition is at least partially input dependent, the author asks how grammatical form is processed in the input by second language learners and is it possible to assist this in ways that help the learner to create richer grammatical intake. He answers these questions and explains why traditional paradigms are not psycholinguistically motivated. Drawing on research from both first and second language acquisition, he outlines a model for input processing in second language acquisition that helps to account for how learners construct grammatical systems. He then uses this model to motivate ""processing instruction,"" a type of grammar instruction in which learners are engaged in making form-meaning connections during particular input activities.",144396789,10.2307/345093,
P. Skehan,2003,Task-based instruction,"This article is organised in five main sections. First, the sub-area of task-based instruction is introduced and contextualised. Its origins within communicative language teaching and second language acquisition research are sketched, and the notion of a task in language learning is defined. There is also brief coverage of the different and sometimes contrasting groups who are interested in the use of tasks. The second section surveys research into tasks, covering the different perspectives (interactional, cognitive) which have been influential. Then a third section explores how performance on tasks has been measured, generally in terms of how complex the language used is, how accurate it is, and how fluent. There is also discussion of approaches to measuring interaction. A fourth section explores the pedagogic and interventionist dimension of the use of tasks. The article concludes with a survey of the various critiques of tasks that have been made in recent years.",31449611,10.1017/S026144480200188X,
M. Jordà,2004,An analysis on EAP learners' pragmatic production: a focus on request forms,,53851944,,
"Majid Farahian, M. Rezaee, Afshin Gholami",2012,Does Direct Instruction Develop Pragmatic Competence? Teaching Refusals to EFL Learners of English,"To achieve communicative competence, L2 learners' need to develop their pragmatic competence and this may be fostered with the help the learners receive from their teachers. This paper is an attempt to investigate the efficacy of explicit instruction of refusal at pragmatic level to four types of acts- invitations, suggestions, offers and requests. Adopting a pretest/posttest design as with treatment and control group, the two groups in this study were exposed to the treatment. Data collected by means of written Discourse Completion Test (DCT) as well as written self report suggest that the instructional approach resulted in gain in L2 pragmatic ability of the experimental group. The delayed posttest used in the study confirmed the findings. The findings may contribute to the interlanguage pragmatic pedagogy, especially in the EFL context and suggest that meta-pragmatic information the L2 learners received through pedagogy may lead to learners' L2 pragmatic development.",56072904,10.4304/JLTR.3.4.814-821,
